memory_mb,sample_idx,timestamp,init_ms,duration_ms,max_memory_mb
128,1,2025-10-02T17:46:58.080575,367.37,840.54,92
128,2,2025-10-02T17:47:18.217253,367.37,840.54,92
128,3,2025-10-02T17:47:37.840174,0,260.17,92
128,4,2025-10-02T17:47:58.246203,0,44.91,92
128,5,2025-10-02T17:48:18.453836,0,420.62,92
256,1,2025-10-02T18:03:40.599196,0,1.6,95
256,2,2025-10-02T18:04:01.206910,0,13.79,95
256,3,2025-10-02T18:04:20.224423,0,178.79,95
256,4,2025-10-02T18:04:39.476221,0,138.65,95
256,5,2025-10-02T18:04:59.055826,0,2.53,95
512,1,2025-10-02T18:20:23.923176,416.13,640.97,94
512,2,2025-10-02T18:20:43.823997,416.13,640.97,94
512,3,2025-10-02T18:21:04.170056,0,71.46,94
512,4,2025-10-02T18:21:24.324089,0,92.42,94
512,5,2025-10-02T18:21:43.808946,0,61.68,94
1024,1,2025-10-02T18:37:10.543018,364.01,538.08,94
1024,2,2025-10-02T18:37:29.516623,364.01,538.08,94
1024,3,2025-10-02T18:37:48.606936,0,2.34,94
1024,4,2025-10-02T18:38:10.650069,0,3.96,94
1024,5,2025-10-02T18:38:30.306878,0,17.62,95
