memory_mb,sample_idx,timestamp,init_ms,duration_ms,max_memory_mb
128,1,2025-10-01T17:56:11.315457,379.86,26.83,89
128,2,2025-10-01T17:56:31.424425,379.96,859.28,91
128,3,2025-10-01T17:56:51.451411,0,316.95,91
128,4,2025-10-01T17:57:11.638672,0,396.3,91
128,5,2025-10-01T17:57:31.723260,0,16.18,91
128,6,2025-10-01T17:57:56.709768,0,48.31,91
128,7,2025-10-01T17:58:16.807824,0,48.31,91
128,8,2025-10-01T17:58:36.833289,0,10.23,91
128,9,2025-10-01T17:58:56.826683,0,1.44,91
128,10,2025-10-01T17:59:16.709676,0,1.73,91
256,1,2025-10-01T18:14:41.458774,366.42,704.55,94
256,2,2025-10-01T18:15:01.490547,366.42,704.55,94
256,3,2025-10-01T18:15:21.641498,0,28.99,94
256,4,2025-10-01T18:15:41.683572,0,126.19,94
256,5,2025-10-01T18:16:01.395806,0,1.63,94
256,6,2025-10-01T18:16:21.931901,0,1.53,94
256,7,2025-10-01T18:16:42.335585,0,1.48,94
256,8,2025-10-01T18:17:01.913617,0,12.45,94
256,9,2025-10-01T18:17:21.327229,0,82.41,94
256,10,2025-10-01T18:17:40.817295,0,80.47,94
512,1,2025-10-01T18:33:03.018604,374.03,603.58,94
512,2,2025-10-01T18:33:21.283608,374.03,603.58,94
512,3,2025-10-01T18:33:39.472000,0,5.83,94
512,4,2025-10-01T18:33:57.807766,0,62.19,95
512,5,2025-10-01T18:34:16.012069,0,32.79,95
512,6,2025-10-01T18:34:34.314213,0,41.55,95
512,7,2025-10-01T18:34:52.619082,0,1.95,95
512,8,2025-10-01T18:35:11.063750,0,58.2,95
512,9,2025-10-01T18:35:29.251558,0,3.98,95
512,10,2025-10-01T18:35:47.900811,0,1.91,95
1024,1,2025-10-01T18:51:09.374321,385.54,545.97,94
1024,2,2025-10-01T18:51:27.865562,385.54,545.97,94
1024,3,2025-10-01T18:51:46.247579,0,30.04,94
1024,4,2025-10-01T18:52:04.715614,0,6.25,95
1024,5,2025-10-01T18:52:22.965542,0,2.08,95
1024,6,2025-10-01T18:52:41.292041,0,4.48,95
1024,7,2025-10-01T18:53:13.010350,0,1.19,95
1024,8,2025-10-01T18:53:31.598102,0,2.12,95
1024,9,2025-10-01T18:53:50.160921,0,39.01,95
1024,10,2025-10-01T18:54:08.530341,0,1.75,95
